Title,Description,Priority,Status,Estimate,Labels,Project,Milestone,Parent issue,Blocked by
CreateSolutionStructure-1.1,Run dotnet new sln -n SchoolSaaS at repo root,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,
CreateSolutionStructure-1.2,"Create Api, Application, Domain, Infrastructure, Shared projects (net9.0)",1,Todo,0.5,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.1
CreateSolutionStructure-1.3,Set project references enforcing Clean Architecture layers,1,Todo,0.5,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.2
CreateSolutionStructure-1.4,Create Modules/Platform folder scaffold,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.2
CreateSolutionStructure-1.5,Add NuGet packages to Api (MediatR FluentValidation Serilog Swashbuckle),1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.2
CreateSolutionStructure-1.6,Create Program.cs minimal host stub,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.5
CreateSolutionStructure-1.7,Add Directory.Build.props with TreatWarningsAsErrors and Nullable enable,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.1
CreateSolutionStructure-1.8,Add root .gitignore and README.md,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.1
CreateSolutionStructure-1.9,Verify dotnet build succeeds with zero warnings,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,CreateSolutionStructure,CreateSolutionStructure-1.6;CreateSolutionStructure-1.7
DefineResultPattern-2.1,Create Error.cs record with Code Message Field,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineResultPattern,CreateSolutionStructure-1.9
DefineResultPattern-2.2,Create ValidationError extending Error,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineResultPattern,DefineResultPattern-2.1
DefineResultPattern-2.3,Create non-generic Result class,1,Todo,0.5,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineResultPattern,DefineResultPattern-2.1
DefineResultPattern-2.4,Create generic Result T class,1,Todo,0.5,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineResultPattern,DefineResultPattern-2.3
DefineResultPattern-2.5,Add NotFound Forbidden Conflict factory methods,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineResultPattern,DefineResultPattern-2.4
DefineResultPattern-2.6,Unit tests for Result success and failure cases,1,Todo,0.5,testing;L5,Sprint 1,MVP Phase 1,DefineResultPattern,DefineResultPattern-2.5
DefineBaseEntity-3.1,Create ITenantEntity marker interface,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,CreateSolutionStructure-1.9
DefineBaseEntity-3.2,Create ISoftDeletable interface,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,DefineBaseEntity-3.1
DefineBaseEntity-3.3,Create BaseEntity abstract class with audit and soft delete fields,1,Todo,0.5,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,DefineBaseEntity-3.2
DefineBaseEntity-3.4,Create AuditableEntity extending BaseEntity,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,DefineBaseEntity-3.3
DefineBaseEntity-3.5,Create IAggregateRoot and IDomainEvent interfaces,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,DefineBaseEntity-3.3
DefineBaseEntity-3.6,Add BaseEntity constructor with Id and CreatedAt defaults,1,Todo,0.25,backend;foundation;L5,Sprint 1,MVP Phase 1,DefineBaseEntity,DefineBaseEntity-3.3
ConfigureEfCorePostgreSql-4.1,Add Npgsql and EFCore.NamingConventions NuGet packages,1,Todo,0.25,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,CreateSolutionStructure-1.9
ConfigureEfCorePostgreSql-4.2,Create ApplicationDbContext in Infrastructure,1,Todo,0.5,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,ConfigureEfCorePostgreSql-4.1
ConfigureEfCorePostgreSql-4.3,Configure snake_case naming convention,1,Todo,0.25,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,ConfigureEfCorePostgreSql-4.2
ConfigureEfCorePostgreSql-4.4,Create IUnitOfWork and UnitOfWork implementation,1,Todo,0.5,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,ConfigureEfCorePostgreSql-4.2
ConfigureEfCorePostgreSql-4.5,Create Infrastructure DependencyInjection extension,1,Todo,0.5,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,ConfigureEfCorePostgreSql-4.4
ConfigureEfCorePostgreSql-4.6,Add connection string to appsettings.Development.json,1,Todo,0.25,backend;database;L5,Sprint 1,MVP Phase 1,ConfigureEfCorePostgreSql,ConfigureEfCorePostgreSql-4.5
